# Radial distribution function (50 data points):
# "Pair separation distance" 1-1 1-2 1-3 1-4 1-5 2-2 2-3 2-4 2-5 3-3 3-4 3-5 4-4 4-5 5-5
6.1 0.0 3.8006490703 0.8204575771 0.3653847516 1.0492892977 0.8144248008 0.7975330271 0.3269752762 1.2856380014 0.3812714623 0.3166308039 0.7260920026 0.3862747021 0.6157862542 0.7972280656 
6.3 0.0 0.0 0.9134204916 0.250971513 0.9759722177 1.527080698 0.8475297874 0.7443126928 1.19827091 0.5203386082 0.3211355919 0.687135715 0.2060177879 0.7998278473 0.7301157736 
6.5 0.0 0.0 1.1083300878 0.3200585715 1.0539750582 0.0 1.1537578071 1.6769801588 0.9461137352 0.7013402281 0.3840702858 0.7497609704 0.1606498351 0.793043186 0.7009057806 
6.7 0.0 4.0505962916 0.9986470116 0.7702426127 1.0520186856 1.3501987639 1.3997060519 1.9247863315 0.9294360278 0.912134276 0.653774175 0.8726930822 0.1857124331 0.7920350654 0.7386694237 
6.9 0.0 0.0 0.6964143371 1.8717756406 1.0765662704 0.6365330773 1.3107866332 1.0156126391 1.0088634481 0.9694163014 0.8593969888 0.9898813484 0.3642953001 0.9060419942 0.85505407 
7.1 2.2043247649 0.0 0.7610486916 1.5124438067 1.1642457506 1.1021623825 1.1985737586 1.0615923954 1.05916882 1.2433282311 1.0937296683 1.0302519144 1.3344284066 0.9838716564 1.0197510526 
7.3 0.1895638078 2.2747656932 1.1394891112 0.7811184604 1.0946085083 0.0947819039 1.0476559776 1.4324692512 1.0686989421 1.2334285092 1.1823555724 1.1072335333 1.5230498063 1.1010043734 1.1541253058 
7.5 0.0 0.0 1.3596892579 1.0070796676 0.9104419118 1.0775347803 0.9506251284 1.0070796676 0.9867286131 1.4207495621 1.4024375801 1.1670318153 1.41281221 1.1162522515 1.1786448326 
7.7 6.1337340741 0.0 1.126789667 0.8111469256 0.8497622164 3.0668670371 0.7744785832 0.9531879658 0.8565932839 1.3994000702 1.5017057504 1.2124298006 1.9639641776 1.1672401279 1.2207097328 
7.9 0.0 1.9423709626 0.9046412909 1.0280364096 0.8864454183 0.9711854813 0.6249758421 0.5806303303 0.8347164368 1.3956295065 1.5090167165 1.1749906961 1.4965192792 1.315851938 1.2051739989 
8.1 0.0 0.9238202069 0.7924324441 1.5288846896 0.8360195344 0.0 0.6524907905 0.2803907586 0.8672165775 1.2344975209 1.5354148965 1.1782942068 1.3115589497 1.3711973949 1.192464626 
8.3 3.5193491294 1.7596745647 0.781425853 0.7975286698 0.7726514504 2.1629333191 0.7235846983 0.26738152 0.8101859269 1.1600817501 1.3775760233 1.2263691742 1.6339585195 1.2694591889 1.1960840653 
8.5 0.0 0.8389221698 0.7565835124 0.3138313882 0.7605801447 0.4544161753 0.783460093 0.4623152381 0.7674136449 1.1011630258 1.1096677607 1.2688535667 1.1076915558 1.2242412211 1.1402967253 
8.7 1.6015921219 0.8007960609 0.6637709572 0.2541072546 0.7184964437 0.8007960609 0.802130721 1.1538309049 0.908258753 0.9419734406 0.943902757 1.2083582709 0.8332624912 1.1943991723 1.0843595701 
8.9 0.0 1.5304222313 0.6688511974 0.4948432827 0.7484346183 0.8927463016 0.9380921455 1.5275064169 0.9492877458 1.1087058831 0.9452309606 1.1435063391 0.7817175134 1.1049799853 1.0824478903 
9.1 0.0 1.4638928475 0.720018408 0.7304104196 0.844438521 0.7319464238 1.0671507767 1.0359135712 0.9034736299 1.1906328493 1.0807002201 1.1075398725 1.1355855702 1.092721458 1.0763762003 
9.3 2.8032182753 1.4016091376 0.7374021407 0.8328536736 0.8602542498 2.1024137065 1.1028587455 0.7685706832 0.888409503 1.2168043773 1.2186290183 1.0585601152 1.2697129918 1.0705124552 1.0881011932 
9.5 0.0 0.0 0.7099152621 1.186849909 0.8349860001 0.6716086923 1.0028112751 0.8288292162 1.0194298937 1.221830332 1.206729645 1.0543677879 0.9342018891 1.0056960288 1.0753320286 
9.7 1.2883999541 2.5767999081 0.8505825623 1.004934888 0.8599649903 0.9662999656 0.8250531558 1.5103550931 1.0565904196 0.9868189278 1.111091986 1.0706782919 0.9777232872 1.009635089 1.0871654903 
9.9 0.0 1.2368709667 0.9546811461 1.0682936778 1.004155074 0.0 0.8646644258 0.792203969 0.9116356503 1.0444688163 1.1139215664 1.0748509792 1.1530681992 1.0884973577 1.0805940497 
