# Radial distribution function (50 data points):
# "Pair separation distance" 1-1 1-2 1-3 1-4 1-5 2-2 2-3 2-4 2-5 3-3 3-4 3-5 4-4 4-5 5-5
7.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6530209146 1.5190968901 1.4132581723 1.436166724 1.7000079593 1.395366533 
7.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.9411333916 1.8492593597 1.9317104139 2.3671800597 1.8783059169 1.9271933312 
7.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 3.5247359923 2.5330785255 2.3880123545 3.4614370168 2.1719298465 2.4741961775 
7.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.5201317282 3.0490017922 2.4614337385 3.6632424445 2.0929510178 2.5647322418 
7.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.4862348321 2.8261811805 2.4490217703 2.724335934 2.399173258 2.1640894314 
8.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.2335919668 2.1238895629 2.1047554227 1.9477811657 2.4368163511 2.0021184085 
8.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 2.1689618338 1.8769862024 2.1366663323 1.5445460973 2.0859333892 1.8092685599 
8.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.6703872536 1.6941340904 1.7723248946 1.7687822691 1.6833796918 1.7820671145 
8.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.8731642976 1.4429878535 1.4222552694 1.4275289947 1.2771674381 1.6050643265 
8.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1971302787 1.0777342315 1.1530171373 1.0801962171 1.0144150373 1.341589853 
9.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.9021917401 0.8034829351 1.0270937519 0.7550590689 1.0663553516 1.2021335175 
9.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.9302531758 0.6314045047 0.8600164806 0.4882974241 1.1145230168 1.0098878545 
9.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.0188552606 0.8415756817 1.1406480314 0.5165733744 1.2397760985 1.0209920811 
9.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.1299744782 1.2141814454 1.2041744555 1.0842525016 1.4398406877 1.1512896187 
9.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.5831948373 1.780453741 1.5402846213 1.6620635782 1.6172941888 1.5081688024 
