# Fix print output for fix output
1596000 -0.000223981    -0.000374482 0.00503025
1597000 0.00277252    -0.00254665 0.00287141
1598000 0.00453603    0.00240174 -0.00115987
1599000 -0.000366726    -0.000801644 -0.00060286
1600000 -0.00542992    0.00118759 0.00157657
1601000 0.000819512    -0.000333602 -0.00320528
1602000 -0.000884976    0.001843 0.00176168
1603000 -0.00379334    -0.00130557 -0.00106545
1604000 -9.61459e-05    -0.000151641 -0.000657382
1605000 0.00276505    0.000959283 -0.00108784
1606000 -0.00129987    -0.00258125 0.00161685
1607000 -0.000105666    0.000465641 0.00215531
1608000 -0.00147387    -0.000989391 0.00036864
1609000 0.00625062    -0.00245036 -0.000908645
1610000 -0.000444838    -0.000293138 -0.00301014
1611000 -0.00233004    0.000224529 0.000836885
1612000 -0.00301921    -0.000392569 0.00282442
1613000 0.00402542    -0.00129763 0.000961682
1614000 -0.00926389    0.00548644 -0.000991123
1615000 0.00429546    0.000896969 0.00082123
1616000 -0.00271542    0.000783064 -0.00173609
1617000 -3.74987e-05    0.000547817 -0.00123212
1618000 -0.00124768    0.000471536 0.00599592
1619000 0.00348114    -0.00178607 0.00126242
1620000 0.00227425    -0.00244325 0.00125963
1621000 0.00392582    -0.00046622 0.00115039
1622000 -0.00530222    0.000576679 0.00430818
1623000 -0.000126453    -0.0101242 -0.00183707
1624000 0.00118771    -8.5611e-05 -0.00103269
1625000 0.0187858    -0.00297157 -0.00165789
1626000 0.0164784    0.000550606 -0.000531862
1627000 0.012971    -0.00180337 0.00126462
1628000 0.00109594    -0.00299071 -0.00377481
1629000 0.0109147    -0.00103645 0.00020597
1630000 0.00319797    0.00565136 0.000424876
1631000 0.00939713    -0.00207092 0.00255084
1632000 -2.87542e-05    -0.00071348 0.00118315
1633000 0.000508989    -0.00339287 -0.000783994
1634000 -0.000604184    0.000390327 0.000170683
1635000 -0.00404543    0.00159758 -0.000709223
1636000 0.00126138    -0.00154899 -0.000427648
1637000 0.00417272    0.00258549 0.000748768
1638000 -0.00204778    -0.000738603 0.00197096
1639000 0.00480068    -0.0015201 -0.000775509
1640000 -0.00131148    -0.00231083 -0.000805025
1641000 -0.00656042    -0.00202288 -0.000286781
1642000 6.92977e-05    0.00108013 0.000736699
1643000 -0.000286369    0.00256912 -0.000463814
1644000 0.00187059    0.00427605 0.000227781
1645000 -0.00117194    0.000181483 0.000295417
1646000 -0.00138497    0.000574287 -0.00285745
1647000 -0.00135985    0.00258012 0.00200086
1648000 -0.00208454    -0.00213819 3.70298e-05
1649000 0.000417983    -0.00329629 -0.00303634
1650000 -0.00059652    -0.00453801 0.000250009
1651000 0.000909574    0.0127637 -0.00309553
1652000 0.000747307    -0.00609015 -0.00369591
1653000 -0.000946298    0.0109086 -0.000262071
1654000 0.000818388    -0.002383 -0.00288184
1655000 -8.80693e-05    -0.00645984 -0.00182146
1656000 0.00226121    -0.00651382 0.000773213
1657000 -0.000314597    0.00610345 0.00143329
1658000 0.0021471    -0.00701975 0.000126751
1659000 -0.000494445    0.0176014 0.00323206
1660000 -0.00030416    0.00716037 0.00205598
1661000 -0.00251039    -0.00236064 0.00197224
1662000 0.00049312    0.00613385 0.00183156
1663000 -0.00078477    0.00279253 -0.00150046
1664000 0.00147522    -0.00986632 4.96557e-05
1665000 0.00305861    0.00166398 0.00326599
1666000 0.000969797    -0.000450712 0.00122026
1667000 -0.00203811    0.00159437 0.00114669
1668000 0.00312698    0.00787194 0.00427504
1669000 0.00504064    -0.0052881 -0.000886518
1670000 -0.00213195    -0.00153882 0.000353887
1671000 -0.00333239    -0.00456791 -0.000554361
1672000 -0.000640922    0.00939994 -0.000564455
1673000 0.00723771    -0.000556689 -0.00212773
1674000 0.00195839    -0.00334451 -0.0031484
1675000 0.00323988    -0.0013361 -0.0013623
1676000 -0.00336382    -0.00167699 -0.000150575
1677000 0.00420574    0.00953973 -0.00189129
1678000 0.000416631    -0.00212163 -0.00196679
1679000 0.000240685    0.00791666 0.000518255
1680000 -0.000206336    0.0189384 -0.000971149
1681000 0.00333161    0.0144206 -9.4435e-05
1682000 -0.00385432    0.0122802 -0.000532266
1683000 -0.00285496    0.00170894 -0.000722769
1684000 -0.00152054    0.00101017 -0.00156412
1685000 -0.000918332    0.000780491 0.00199123
1686000 0.000651637    -0.00697702 -0.000202375
1687000 -0.00146261    0.000687121 -0.00143642
1688000 -0.00127231    0.00215914 -0.00298962
1689000 0.00048219    -0.00195147 -0.00175863
1690000 0.0019974    -0.000228548 0.000602309
1691000 -0.000716863    0.00594789 0.00151836
1692000 0.00241939    -0.00381825 -0.0020855
1693000 -0.00277926    -0.00199668 -0.00029106
1694000 0.000511166    -0.00478651 0.000741602
1695000 -0.00320367    0.00138044 0.00136592
1696000 0.00267639    0.00831221 0.000643073
1697000 0.000809433    -0.00161882 -0.0018304
1698000 -0.00301645    0.00273571 -0.000124576
1699000 0.000580287    -0.00357754 -0.00111574
1700000 -0.000212987    0.0035164 -0.00144767
1701000 0.0016983    0.00319853 -0.0012437
1702000 -0.00100179    -0.00320468 -0.000740413
1703000 0.000616162    -0.00153313 -0.00147437
1704000 0.00201971    -0.00113942 0.00304592
1705000 -0.000582153    0.0142471 0.000982969
1706000 -0.0004221    -0.00278115 -0.00121316
1707000 -0.00307792    0.000301593 -0.000248662
1708000 0.000145352    0.00125053 0.00175903
1709000 -0.000204049    0.000215513 -0.000960428
1710000 -0.000322149    -0.00346267 0.000520618
1711000 0.0010545    0.00140665 0.00048294
1712000 0.00118745    -0.00270607 -0.00181654
1713000 -5.81527e-05    -0.00154907 0.00107098
1714000 0.000245558    0.00159832 0.000263131
1715000 6.38775e-05    -0.000490223 0.00106827
1716000 -0.00190567    -0.00307986 0.000613387
1717000 -0.000433988    0.0033048 -0.00347248
1718000 -0.000241398    -0.000679397 -0.0012292
1719000 -0.00186075    -0.000748463 -0.000678642
1720000 -0.00176205    -0.000262934 0.000405333
1721000 0.00067639    -0.00415986 0.000497388
1722000 -0.00194603    0.00134249 -0.000217251
1723000 -0.00139129    -0.000867202 -0.00191701
1724000 0.000350567    -0.00139521 0.00255175
1725000 -0.000556998    0.00166506 -0.000759539
1726000 0.000639746    0.00361094 -0.00121597
1727000 -1.36114e-05    -0.00019287 0.00017328
1728000 0.0015683    0.000726767 -0.00215377
1729000 0.000533928    1.27448e-05 0.001708
1730000 0.00110733    0.00193482 -0.00182488
1731000 -0.00133252    0.000299896 -0.00105743
1732000 0.000148326    -0.00304664 -8.99917e-05
1733000 0.00131563    -0.00271708 0.000616198
1734000 -0.000872148    0.0061242 -0.000314893
1735000 -0.000322572    0.000359226 -0.00118445
1736000 0.000247752    0.000124392 -0.00142565
1737000 0.000365057    0.00281265 0.000425765
1738000 -0.00022566    0.00412566 -0.0018447
1739000 -0.000496721    0.0240797 0.00160949
1740000 0.000728703    0.0125835 -9.81468e-06
1741000 0.000566449    -0.00526524 -0.000456429
1742000 -0.000883441    0.00038175 -0.000470542
1743000 4.90849e-05    0.0124346 -0.00108717
1744000 -1.94446e-05    -0.000360676 0.00104051
1745000 -0.000382286    -4.71669e-06 -0.000483597
1746000 -0.000733229    0.00226527 0.000910822
1747000 0.00283014    -0.00378323 -0.000463875
1748000 -0.00338838    -0.00289135 -0.000175742
1749000 0.000136536    0.00461587 -0.00042767
1750000 -0.00109132    -0.00332997 -0.000906942
1751000 0.000385443    0.026514 0.00235037
1752000 -0.000802829    -0.00107246 -0.00212291
1753000 0.00108876    0.006422 -8.47117e-05
1754000 0.00253815    0.00557068 -0.00163797
1755000 -0.006209    0.00386943 0.00179703
1756000 0.00329048    0.00969686 0.000918362
1757000 0.00322511    0.00316065 -0.0030425
1758000 0.00819253    -0.00164237 -0.000799374
1759000 -0.00204382    0.0101681 0.00203772
1760000 0.00341939    0.0127143 -0.000211707
1761000 -0.00215606    0.00710344 0.00189779
1762000 0.00102712    0.00826993 -0.000480584
1763000 0.0195138    0.0034534 0.0017123
1764000 0.0105903    0.0176301 3.39425e-06
1765000 0.00197228    0.00611954 -0.00209528
1766000 0.00355128    0.00358334 0.00201924
1767000 -0.00507868    0.00200404 5.52629e-05
1768000 -0.00338289    0.00212166 -0.000864212
1769000 0.00235899    0.00947687 -0.000800956
1770000 0.00239861    0.00598795 0.00131591
1771000 0.00200803    0.0182993 0.000402836
1772000 0.00380145    -0.00127371 0.00142981
1773000 0.0267282    0.0159787 0.000837709
1774000 0.00216887    0.00770283 -0.00177833
1775000 0.00179685    0.0240882 -0.000288229
1776000 0.0187532    0.00557836 -0.000534938
1777000 0.0109184    0.00420158 0.00324116
1778000 0.0161916    0.0176506 -0.000645214
1779000 0.0123802    -0.00683642 -0.00222359
1780000 -0.00229197    0.000923971 0.00118585
1781000 0.00295586    -0.00281672 0.000916604
1782000 0.00120815    8.08145e-05 -0.00052426
1783000 0.00230955    0.00076363 0.000276398
1784000 0.00180433    0.00232166 -0.000320044
1785000 0.0163088    -0.0011161 -0.000288946
1786000 0.005493    0.0185256 1.76961e-05
1787000 0.00965184    -0.00227303 -0.00179477
1788000 -0.00374202    -0.00385967 -0.00239849
1789000 0.0023312    0.00120564 0.000243356
1790000 -0.0018231    -0.00212431 0.00248669
1791000 -0.000537877    -0.00304676 -0.000652573
1792000 0.00115005    0.000167303 -0.00160093
1793000 -0.0033398    0.00107464 0.000738914
1794000 0.000161973    -0.00636704 -0.000857508
1795000 -0.00359019    0.00026183 0.000749132
1796000 0.016231    -0.00343526 0.000824502
1797000 0.000832387    -0.00408715 -0.000372025
1798000 0.00148357    -0.00518137 0.000726667
1799000 0.0100621    0.00102479 0.000442911
1800000 -0.00122106    0.00112784 -0.00564141
1801000 0.00432406    0.0162841 -0.000173106
1802000 -0.000130371    0.00666681 -0.000435149
1803000 0.017017    -0.00191101 -0.00163177
1804000 0.0148521    0.00845013 0.000478682
1805000 0.00139833    -0.00179586 -0.000360759
1806000 0.0196331    0.00872397 0.00166296
1807000 0.0108809    0.011453 0.00103396
1808000 0.00319318    -0.00399371 0.0013803
1809000 0.0163875    -0.00181931 -0.000254549
1810000 0.00512964    0.0153454 -0.000758621
1811000 0.0119024    0.00060518 0.000231357
1812000 0.00790343    -0.000378622 -0.000781829
1813000 0.00633363    0.00495173 0.00143431
1814000 0.00462181    0.0128644 0.00152426
1815000 -0.000971571    0.00774605 0.000372752
1816000 0.00823116    0.00860539 0.000784996
1817000 0.00966494    0.014409 0.000277752
1818000 0.00388093    -0.00122554 -0.000346795
1819000 0.00225224    0.00669287 -0.00149317
1820000 0.00541114    0.0122001 -0.000120245
1821000 0.00826039    0.00709741 -0.000284825
1822000 0.0236525    0.0155299 0.00224689
1823000 0.024713    -0.00373403 -0.00147361
1824000 0.000222363    0.0164552 0.000990678
1825000 0.0119807    0.0101572 0.000722647
1826000 0.00449259    0.013819 -4.32362e-05
1827000 -0.00144064    0.00163383 0.00151144
1828000 0.0105793    0.0159166 0.00228345
1829000 0.0135664    0.0149456 0.00091458
1830000 0.0133506    0.00147286 -0.000520174
1831000 0.0352068    0.00702623 0.00125355
1832000 0.00496251    -0.000609665 -1.56486e-05
1833000 -0.00405136    0.00339833 0.000575037
1834000 0.0208315    0.00607361 0.000748103
1835000 0.0214464    0.00556638 -0.00012397
1836000 0.0235814    0.000875373 0.000712151
1837000 0.0130584    -0.00282968 0.000224813
1838000 0.00997296    0.0241361 8.7519e-05
1839000 0.00375354    -0.000126085 -0.000510665
1840000 -0.00265185    -0.0028812 -0.000406911
1841000 0.0081048    0.0160815 0.00148579
1842000 0.00850727    -0.0130243 -0.00117805
1843000 0.000907708    0.00773707 -0.00275498
1844000 -0.000443747    0.0145362 -0.00043749
1845000 0.00454265    0.00890164 -0.000718616
1846000 0.0103319    0.00688191 -0.000333672
1847000 0.000816832    0.0107035 0.00125262
1848000 0.0133434    0.00617457 0.000101887
1849000 0.0068393    0.0118241 0.000253784
1850000 -0.0098819    -0.000496799 -2.82874e-05
1851000 0.0109662    -0.000178365 0.00232736
1852000 -0.00235323    -5.07768e-05 0.00193413
1853000 -0.00944523    0.014091 -0.00174992
1854000 0.00582408    0.00596579 0.0010344
1855000 0.0115869    0.00574316 -0.00163948
1856000 0.00896875    -0.00288208 -7.88993e-05
1857000 0.00183581    0.00209925 0.001362
1858000 0.00366763    0.0224212 -0.00166686
1859000 -0.00224448    0.00286869 0.00289445
1860000 0.000533013    0.0110299 0.00159147
1861000 -0.00186887    2.57658e-05 0.00306199
1862000 0.000170439    0.00271704 -0.000328224
1863000 0.01532    0.0011906 0.00191538
1864000 -0.00433734    0.00620386 0.000811322
1865000 -0.00617936    0.0076126 0.00124211
1866000 -0.00552649    -0.0132341 -0.00133233
1867000 0.0106633    -0.000368503 -0.00059812
1868000 0.00238467    0.00205682 -0.000878055
1869000 -0.00293581    0.00316934 -4.56216e-05
1870000 0.00174762    -0.000839871 -0.00174187
1871000 0.0139815    0.00490122 -0.000817896
1872000 0.000167254    0.0193717 -0.000192518
1873000 -0.00181174    0.00409885 -0.000650766
1874000 0.0120335    0.0126145 0.00273672
1875000 0.00210988    0.000497843 0.0014586
1876000 -0.00220117    0.00751446 -0.000269038
1877000 0.00433756    0.0100172 0.000849998
1878000 0.00244043    -0.00537753 0.00116385
1879000 -0.000681482    0.00512692 0.000578298
1880000 -0.00802844    -0.00715885 0.0014553
1881000 0.00423522    0.0144589 -0.000378026
1882000 0.00103022    -0.00391424 0.00147115
1883000 0.000465315    -0.000228856 0.00129914
1884000 0.00620458    -0.00311888 0.00180877
1885000 0.000611604    0.00853126 -0.00122922
1886000 -0.00184322    0.004076 -0.000362431
1887000 -0.0029794    0.0224372 0.0019728
1888000 0.0015748    0.00399902 -0.000803843
1889000 0.00356293    0.00660267 -0.000199384
1890000 -0.0071417    0.0152837 0.000643023
1891000 0.00810589    0.00379699 -0.000969413
1892000 -0.00699759    0.00274242 -0.00144322
1893000 0.00291185    -2.02365e-05 0.000379904
1894000 0.00580202    0.0168493 -0.000155973
1895000 -0.00288219    0.000163125 -0.000191458
1896000 0.00454311    0.00609803 -0.000511371
1897000 0.00266817    0.0302772 -0.00133315
1898000 0.0022792    -0.00351305 0.000635018
1899000 0.000178734    0.0105378 6.67153e-05
1900000 0.000487202    0.00374119 -0.00116055
1901000 0.000342678    0.00230094 -0.00107421
1902000 0.000410036    -0.00346161 0.0020294
1903000 -0.00140681    0.00825195 0.00392794
1904000 0.003592    0.00175039 -5.25804e-05
1905000 0.00209146    0.0132662 -0.000891532
1906000 0.000538299    -0.00146423 -0.00339686
1907000 0.000722852    -0.00478326 -0.00123999
1908000 -0.000140936    0.00443641 0.000935077
1909000 -0.0018324    -0.00453652 0.000761488
1910000 -0.00315934    0.0046221 -0.00188975
1911000 0.00288332    0.00351312 -0.000917303
1912000 -0.00269742    0.00267833 0.0012659
1913000 -0.00087312    0.00277629 0.000285718
1914000 -0.00107622    -0.000858296 0.00140877
1915000 0.000934548    0.00427923 0.000197065
1916000 0.000566632    0.00153007 0.000890703
1917000 0.00057475    0.0156893 -0.000444579
1918000 -0.000378445    0.0038455 -0.000746405
1919000 -0.000238704    0.00815143 0.00025694
1920000 0.00102344    0.00237998 -0.00122802
1921000 -9.42338e-05    0.00590483 0.000344353
1922000 0.0010617    0.0130325 -0.00113205
1923000 5.78826e-05    0.0175362 -0.0011199
1924000 -0.000752404    0.00297711 0.00131859
1925000 0.00210931    0.00159332 0.00145549
1926000 -0.000267389    0.00940176 0.00128127
1927000 -0.00205611    0.00736737 -0.000732186
1928000 -0.00227724    0.00747346 0.000398789
1929000 0.002384    -0.00151082 0.00141283
1930000 -0.000173935    0.00472483 -0.00229468
1931000 0.000586429    -0.00298706 0.000630305
1932000 -0.00205089    -0.00200368 0.00123452
1933000 0.00151594    0.000909449 0.00132108
1934000 0.00135524    0.000891731 -0.000624339
1935000 -0.00447956    -0.00151002 -0.000825873
1936000 -0.00259477    6.21988e-05 -9.98571e-05
1937000 -0.00305597    0.000373724 -0.00100151
1938000 0.000931645    -0.00684963 0.000673393
1939000 -0.00167876    0.00172226 -0.000799479
1940000 0.00216414    0.00251233 9.51941e-05
1941000 0.000220518    0.00378182 0.00122313
1942000 0.000338087    0.00401981 -0.00208102
1943000 -0.00138218    -0.000849858 0.00129124
1944000 -0.00234894    -0.000526936 -0.000951237
1945000 0.000448766    0.000763794 -0.00146695
1946000 0.00134071    -0.000347494 -0.000214396
1947000 0.00279326    -0.00280184 0.00125964
1948000 -0.00075953    3.08874e-05 -0.00153961
1949000 -0.00143293    -0.00390688 0.000711671
1950000 -0.000963367    0.00379445 -0.00305075
1951000 -0.000822261    0.00221234 0.000657744
1952000 0.00108614    0.00485389 0.00214575
1953000 -0.00010835    -0.00135316 -0.00103614
1954000 -0.00183604    -0.000269788 -0.00333858
1955000 0.000262322    0.00373105 -0.00169643
1956000 0.000977764    0.0183191 -0.00239897
1957000 -0.00150392    0.0242924 0.000749205
1958000 -0.000137937    0.0167192 0.00350522
1959000 0.000900312    0.0065063 0.000119073
1960000 -0.00113097    0.030961 6.57463e-05
1961000 0.00109219    0.0239584 0.000123373
1962000 -0.0027632    -0.00106507 -0.00255624
1963000 -0.00122642    -0.00113519 0.000876045
1964000 -0.00336399    -7.32139e-05 0.00456192
1965000 0.00033274    -0.000626961 -0.00121792
1966000 -0.00210488    0.00699104 0.00198432
1967000 0.00109165    0.0179001 0.001089
1968000 0.00203686    0.00587204 0.00121052
1969000 0.00068786    0.0253457 -0.00165588
1970000 0.000912162    0.0102356 0.000100502
1971000 -0.00397683    0.00460769 0.00128792
1972000 0.00198135    0.0178675 0.00213889
1973000 0.000449448    0.0163219 -0.000677819
1974000 0.000517257    0.0332668 -0.000800647
1975000 0.000375436    0.00438794 0.000114017
1976000 0.00228391    0.0180844 -0.00257208
1977000 -0.000833862    0.0103629 0.000197443
1978000 -0.00123168    0.00756409 -0.00357722
1979000 0.00295565    -0.000739051 -0.000654141
1980000 0.0010247    -0.00137396 0.00248232
1981000 -0.00246395    0.00177132 -0.000856136
1982000 0.0012719    0.0171957 -0.00143925
1983000 0.0026255    0.0142308 0.00163713
1984000 0.00264504    0.0198149 -0.000443028
1985000 0.00267219    0.00908697 1.96699e-05
1986000 9.71682e-05    -0.00613621 0.000172392
1987000 0.000629405    0.00324936 -0.00215919
1988000 0.00044249    0.00768725 0.00139246
1989000 -2.7927e-05    0.0143371 0.000805833
1990000 -0.00043974    0.00796184 0.000528508
1991000 -0.000559685    0.0122862 -0.000161905
1992000 0.0013    -6.42416e-05 -0.000823964
1993000 -0.0020974    0.000929411 -0.000898344
1994000 0.000388441    0.0259013 0.000233182
1995000 -0.00206684    -0.000212218 0.00248874
1996000 0.000150627    0.0159574 -0.00178047
1997000 0.00186673    0.00468884 0.00106189
1998000 -0.001661    0.0121301 -0.000599956
1999000 -0.00233235    0.0289386 0.000596246
2000000 0.000767167    0.000577713 -0.000470064
2001000 0.00063114    0.0152432 -0.00151921
2002000 0.000750743    0.00697299 -0.000213683
2003000 -0.0028442    0.00933744 0.000660136
2004000 0.00016477    0.00492972 -0.00261161
2005000 -0.00135432    0.00805258 -0.00133882
2006000 -0.0010575    0.0089287 0.000513707
2007000 -0.00181696    0.0132598 0.000980304
2008000 0.000759964    0.0152037 -0.000500418
2009000 0.0015064    0.0181803 0.000206962
2010000 0.00283865    0.00714207 -0.0017864
2011000 0.000961199    0.0105362 -0.00186206
2012000 0.000284097    0.0142434 0.00394214
2013000 -0.00141278    0.0159416 -0.00104654
2014000 0.000295393    0.000325768 -0.00139057
2015000 0.00022975    -2.70844e-05 -0.00157423
2016000 0.00135624    -0.00925203 -0.00017431
2017000 0.0019143    0.0251995 0.00100103
2018000 -0.00106035    0.0175573 -0.000164723
2019000 -0.000507365    0.0139299 -0.00159812
2020000 0.00150734    -7.55441e-05 -0.00318204
2021000 -0.000828358    0.0109067 0.000270778
2022000 0.00206317    0.00544324 0.000417974
2023000 -0.00357242    0.0165497 0.000498272
2024000 -0.00130424    0.00720952 0.00183749
2025000 -0.000819725    0.00734319 -0.000825102
2026000 0.000231232    -0.00351308 0.000501204
2027000 0.000708332    0.00314547 0.000346391
2028000 0.000351134    0.00404153 0.000572562
2029000 -0.00256468    0.0149699 -0.000955958
2030000 -0.00196691    0.00102448 -0.000509297
2031000 -0.00273885    0.00386536 0.00154961
2032000 -0.00140996    0.00370389 0.000686843
2033000 -0.00112446    -0.00287608 0.000774817
2034000 -0.000663579    0.00191646 -0.000383262
2035000 -0.00109216    0.0085523 0.00138326
2036000 2.03498e-05    -0.00375224 0.00053256
2037000 0.00182635    0.0191806 0.000679407
2038000 0.000999245    0.00918012 -0.000728629
2039000 -0.00195127    0.00411728 0.000181616
2040000 0.00156605    0.000107276 -0.000399241
2041000 -0.00175638    -0.00101104 0.000139352
2042000 0.0037685    0.0135936 -0.00176686
2043000 0.00115833    0.0248453 -0.0013291
2044000 -0.00123826    0.0116467 0.000233126
2045000 -0.00316794    0.00139556 -0.00180799
2046000 -0.000475368    0.0123238 -0.00129612
2047000 9.06771e-05    0.017729 -0.00102894
2048000 -0.00170511    0.0197958 0.00163549
2049000 -0.00216452    0.0162901 0.000395307
2050000 0.000215331    0.0162367 0.000582259
2051000 0.00112463    0.00232908 -0.000225526
2052000 -0.00137524    -0.00173525 0.000697649
2053000 0.000615485    0.00317295 0.00223193
2054000 0.00109145    -0.00429589 0.000547788
2055000 0.000766669    0.0120582 -0.000212826
2056000 -0.000970443    -0.00170969 -0.000580171
2057000 0.000243806    -0.00712866 0.000256253
2058000 -0.000460137    0.00469485 -0.000980543
2059000 0.000777037    0.00370512 -0.000388251
2060000 0.000782085    0.0169258 -0.00152641
2061000 -0.00255669    -0.00434052 0.000683192
2062000 -0.00270014    -0.00368737 0.00138108
2063000 -0.000363399    -0.00255793 -0.00158281
2064000 0.00141522    -0.00341617 0.00121137
2065000 0.00177016    -0.00209266 -0.000360384
2066000 0.000264825    -0.00553314 0.000930165
2067000 0.00123024    0.00501978 -7.76677e-06
2068000 -0.00268769    -0.000491295 0.000789914
2069000 0.0014885    0.00681922 0.000248834
2070000 -0.000581844    0.0189269 0.000480529
2071000 0.00180896    0.00968812 -0.000125596
2072000 0.000527999    0.0263718 -0.0014776
2073000 0.00169666    0.0150109 0.000980788
2074000 0.00300821    0.00286689 -0.00137583
2075000 0.00035891    -0.00153887 8.72157e-05
2076000 -0.000691339    0.0282383 0.000134413
2077000 3.61984e-05    0.00851553 4.23405e-05
2078000 0.00144492    -0.00263487 -0.00150659
2079000 0.0014204    0.00561836 -0.000577512
2080000 -0.000123934    0.00944404 8.97443e-05
2081000 -0.00291086    0.0220413 0.0014081
2082000 0.00151096    0.00142898 -0.000953415
2083000 0.000591303    0.00875102 -0.000397395
2084000 -0.000709001    0.0109861 -0.000156894
2085000 -0.00261764    0.0146443 0.00155201
2086000 -0.00182678    0.0109188 -8.09836e-05
2087000 -0.0012729    0.00140143 -0.000115139
2088000 -0.00200695    0.0222892 -0.000581859
2089000 0.00293711    -0.00290528 -0.000359528
2090000 0.0026268    -0.0100824 -0.000312202
2091000 0.0035658    -0.0108992 0.000212542
2092000 0.000744986    0.0141811 -0.000226544
2093000 0.000117012    0.00753034 0.00320377
2094000 0.00196387    -0.000844793 0.00143895
2095000 -0.000376764    -0.010548 0.000996092
2096000 -0.00138834    0.00358438 -0.00177595
2097000 -0.00114508    -0.00219732 -0.00223841
2098000 -0.00131378    0.00906382 0.000654677
2099000 -0.00107477    0.0181109 -0.00290601
2100000 0.00124886    -0.00365563 -0.000409955
2101000 0.00167396    -0.00763385 0.00103166
2102000 -0.00188923    0.00273754 0.003572
2103000 0.000237313    0.00174183 -0.00238951
2104000 -8.46941e-05    0.00517159 0.00109253
2105000 -0.00134739    0.00208121 -0.00280358
2106000 0.00116459    -0.00314816 0.00109177
2107000 0.00109378    -0.0058864 -0.000906729
2108000 -0.000179756    0.00328685 -6.73412e-05
2109000 -0.000196466    0.00945776 0.00119384
2110000 0.00297509    -0.0056468 -0.000375981
2111000 -0.00107153    0.00866532 0.000842984
2112000 0.00050849    0.00946216 0.000567177
2113000 0.000410048    0.00814764 0.0010011
2114000 0.00018661    0.00585291 -0.00149964
2115000 -0.00375612    0.00637892 -0.0027098
2116000 -0.000230185    0.0101389 -0.00147927
2117000 0.00245036    0.0208186 0.000427061
2118000 0.000102744    0.0185334 -0.00154782
2119000 -0.000323568    0.0128862 9.26785e-05
2120000 0.0014759    -0.000706799 0.00179842
2121000 -0.00101223    -0.000685163 0.00112043
2122000 0.000956154    0.00474136 0.000325898
2123000 0.0017322    0.0214625 -0.00140538
2124000 -0.000485245    0.0047155 -0.000118404
2125000 -0.00195338    -0.00586703 -0.000283292
2126000 0.000568327    0.0124961 0.00190549
2127000 0.00027363    0.00304123 0.000118716
2128000 -0.00144766    0.00557435 7.31085e-05
2129000 -0.000215917    0.00965556 0.000593211
2130000 0.00208632    0.0106527 -0.000141341
2131000 -0.00295396    0.0134578 -0.00147383
2132000 -0.00148368    0.0166239 0.000284168
2133000 0.00114609    0.00414441 0.00154239
2134000 0.000534034    0.00217265 -0.00104665
2135000 0.0015269    0.0120288 -0.000431823
2136000 -0.000305507    0.00251079 0.00140939
2137000 0.00110412    0.00155429 0.000491422
2138000 0.00115188    0.00657151 0.000469918
2139000 -6.37464e-05    0.00239666 -9.60066e-05
2140000 -0.00394178    -0.00181874 -0.000111962
2141000 0.000462996    -0.000139744 -0.000363645
2142000 -0.00235653    0.00550552 -0.00189091
2143000 -0.00124535    -0.0015064 -0.000354505
2144000 0.00537836    0.00322751 -0.0019855
2145000 0.000533748    -0.00292794 0.000697328
2146000 0.000331469    0.00398329 -0.00128605
2147000 0.000749202    0.000918826 -0.000261965
2148000 -0.00354661    -0.00250719 -0.00075644
2149000 -0.00107354    -0.00116941 0.000994226
2150000 -0.000625346    0.000669619 -0.00336144
2151000 -0.00236082    0.00303475 0.00144077
2152000 -0.000717455    0.0041919 0.00132972
2153000 0.00148807    -0.00207822 -0.00321988
2154000 0.00191607    0.00292902 -0.000415612
2155000 0.00243839    -0.00454284 -0.000807421
2156000 -0.000361776    0.000641744 0.000828422
2157000 0.00370178    0.00149826 0.00108703
2158000 0.00257751    -0.00168817 0.000804465
2159000 0.000973618    0.00336802 0.00114516
2160000 -0.00135176    0.00049539 -0.000569999
2161000 -0.00212325    -0.00324638 0.000181824
2162000 0.00146467    8.72502e-05 0.00176733
2163000 0.000318448    0.00188269 0.000771433
2164000 -0.000832645    0.00485995 0.000424081
2165000 0.00127071    -0.00147472 0.00020397
2166000 0.00010914    0.00442355 -0.00113468
2167000 -0.00125252    0.0139103 0.000318448
2168000 -0.00127986    0.000151935 -0.000610055
2169000 -0.000248607    0.0206568 6.57541e-05
2170000 -0.000467814    0.00296844 -0.00023116
2171000 0.0019291    0.0117052 0.00060776
2172000 0.000215966    -0.0027714 0.00238172
2173000 -0.00286031    0.014121 0.00129739
2174000 0.0011175    -0.00440124 -0.00250015
2175000 -0.000454304    0.017245 -0.000454125
2176000 0.000800107    0.00562051 0.000274377
2177000 0.00148805    0.0213515 0.0015758
2178000 -0.00118146    0.00565329 -0.000571816
2179000 -0.00024043    0.00231653 0.000335317
2180000 -0.0020788    0.0119154 0.000847425
2181000 0.000127855    0.0007079 0.000442027
2182000 -0.000985813    0.012428 -0.000428434
2183000 -0.00216702    -0.00844129 -0.00178383
2184000 0.00294531    0.00592118 -0.000313003
2185000 -0.00101095    0.0103173 -0.000347273
2186000 0.00228283    0.0042848 -0.00147203
2187000 -0.00251438    0.0183189 0.000904007
2188000 0.00286198    0.0102489 -0.00043581
2189000 0.00127951    0.0189712 -0.00442811
2190000 -0.0013129    0.0122638 -0.00211744
2191000 0.00342316    0.010018 -0.000196658
2192000 0.00335176    0.00438749 -0.00088129
