# Fix print output for fix output
1134000 0.000582144    0.00233253 0.0172299
1135000 0.00827949    -2.50222e-05 0.012169
1136000 0.00188623    0.000591869 0.0166408
1137000 -0.00108241    -7.59177e-05 0.0193041
1138000 0.00236567    0.000623327 0.00701183
1139000 0.0015563    8.62996e-05 -0.000603171
1140000 -0.00170915    -0.000568215 0.00182938
1141000 0.000319509    -0.000164943 0.00456473
1142000 0.00414803    -5.83756e-05 0.0157814
1143000 0.000664336    0.000387206 0.0391783
1144000 -0.00270773    -0.00211358 0.00565715
1145000 0.000259222    6.94497e-05 0.000934491
1146000 0.00206382    0.00119901 -0.00573483
1147000 0.00346876    0.00048967 0.003128
1148000 0.004685    -0.000944378 0.0204333
1149000 0.00353012    -0.000119671 0.0150263
1150000 -0.001103    0.000242383 0.0145462
1151000 0.00459671    0.000289563 0.00853321
1152000 0.00990813    0.00115881 0.0122654
1153000 0.00586218    0.000217106 0.0224545
1154000 0.0297059    0.00046936 0.00586021
1155000 0.033061    0.00132735 0.0091658
1156000 0.00565517    0.000735806 0.00155755
1157000 -0.00240527    -0.00080109 0.0266262
1158000 0.00681426    -0.00122155 0.0270975
1159000 -0.00139876    0.00049584 0.00354814
1160000 0.0221486    -0.00193812 0.00451939
1161000 -0.00863357    -0.00015914 0.00184424
1162000 -0.00151214    0.000512407 -0.0161947
1163000 -0.00345045    0.000607267 -0.0102088
1164000 0.0158086    0.000818116 -0.00306468
1165000 0.027701    0.00172081 0.0184251
1166000 0.00652289    -0.000314381 0.00736396
1167000 0.00504405    -0.000583184 0.0156728
1168000 -0.00495113    6.74233e-06 -0.00152422
1169000 0.00463835    0.000574703 0.000915727
1170000 0.0183852    0.00116425 -0.00738518
1171000 0.00331802    0.000549026 0.0210206
1172000 0.00973374    -0.00064277 0.0133659
1173000 -0.00480753    -0.00228097 0.0311283
1174000 0.0132826    -0.000295034 0.00333956
1175000 0.00639443    -0.00116388 0.0037825
1176000 0.00948707    -0.00087554 0.0200121
1177000 0.00126649    -0.00159376 0.0285507
1178000 -0.00340659    0.000175152 -0.0083176
1179000 0.0328747    0.000771124 0.000388991
1180000 0.0105376    -0.00118838 0.00109882
1181000 0.00949105    -0.00101703 0.00193835
1182000 0.0200369    0.000254614 0.00525477
1183000 0.00212186    0.00241678 0.0267602
1184000 0.00496593    -0.00103139 0.0142442
1185000 0.00556861    -0.00012492 0.000305062
1186000 0.0124864    -0.00187617 0.0293532
1187000 0.00593928    -0.00193044 0.0100344
1188000 0.00486768    -0.000630029 0.00656056
1189000 0.00418928    0.00337683 0.0122797
1190000 0.00765456    -0.000978105 0.000595257
1191000 0.0120813    -0.000162566 0.0115117
1192000 0.0135802    -0.00197122 0.0114929
1193000 8.7577e-05    0.000379348 0.00562614
1194000 -0.00907018    0.000380037 0.00892987
1195000 0.00385684    -0.000915151 0.000379452
1196000 -0.000292532    0.000270181 0.031334
1197000 0.0199624    0.000509564 0.0170297
1198000 0.00959588    -0.00039031 -0.00439326
1199000 -0.00160124    -0.00181592 0.0294152
1200000 0.0178327    0.00209217 -0.00277438
1201000 0.0132847    0.000694113 0.00544617
1202000 0.00874089    0.000830973 0.0132467
1203000 0.00178241    0.00174468 0.0117975
1204000 -0.00337571    0.00132192 0.00151856
1205000 -0.00103172    -0.000304654 -0.00561086
1206000 0.0012102    0.000121968 0.0040184
1207000 0.00601092    -0.000422773 0.0196697
1208000 0.00989412    -0.00034456 0.0021283
1209000 0.00134401    -0.00082923 -0.01223
1210000 0.00447282    -6.71924e-05 0.0104174
1211000 0.00622837    -0.000835118 0.00373887
1212000 0.000467111    0.00304285 -0.00240187
1213000 -0.0026923    0.000860086 -0.00124895
1214000 -0.000479058    -0.00178896 0.00618174
1215000 0.0114535    0.000191247 6.17143e-05
1216000 0.00165385    4.26763e-05 0.00165449
1217000 0.00678605    0.0013582 0.00214566
1218000 0.0105429    0.000630224 0.0280133
1219000 0.0212093    -0.00163866 0.0128719
1220000 0.0034888    -0.00100019 0.0183198
1221000 0.0129096    -0.000657995 0.0133603
1222000 0.0195166    -0.00142617 0.0100102
1223000 0.00496198    -0.000511808 0.0255738
1224000 0.0114126    0.00139999 -0.00677789
1225000 0.0101612    8.12708e-05 0.0163724
1226000 0.00108093    0.000728571 -0.00388215
1227000 -0.00126234    -0.000409583 0.0220116
1228000 -0.00160154    0.000586196 0.016752
1229000 0.00373361    -0.000379489 0.0201628
1230000 0.00186399    0.00100424 0.0316829
1231000 0.0137955    -0.000356511 0.0111253
1232000 -0.00361828    0.000159428 -0.0124863
1233000 0.00192176    0.0003014 0.018789
1234000 -0.000568329    -0.000654259 0.0225055
1235000 0.000734725    7.15324e-06 0.0156605
1236000 0.00104415    -6.69108e-05 0.011371
1237000 0.00291093    -0.00042795 0.00576625
1238000 -0.000764758    -0.000250833 0.0252965
1239000 -0.00163077    0.00122256 0.0199284
1240000 -0.00103767    0.000395219 0.0095304
1241000 -0.00467903    0.000324757 -0.00303568
1242000 -0.00656442    -0.000237953 -0.00100847
1243000 0.00569048    -0.000158561 -0.000669485
1244000 0.0136838    -0.00119392 0.00190187
1245000 -0.00908415    -0.000995938 0.00174815
1246000 -0.00391779    -0.00129147 0.00330589
1247000 0.00469977    0.00151919 -0.00587007
1248000 0.00546233    0.000127542 0.00689379
1249000 -0.00490678    0.000829745 -0.00324033
1250000 -0.00358069    0.000845953 0.0132717
1251000 -0.00437576    -0.000776747 0.0049279
1252000 -0.00527018    -0.00134871 0.0228907
1253000 -3.53071e-05    0.000611068 -0.00581306
1254000 0.0056655    -0.0014878 -0.00638676
1255000 5.72362e-05    -0.00097507 0.00560305
1256000 -0.00252631    -0.00110235 0.00851274
1257000 0.00450642    -0.00221696 -0.00256343
1258000 0.00593911    3.26263e-05 0.00835273
1259000 0.0218689    -0.00164 0.0157842
1260000 0.00301001    0.00100955 0.0112292
1261000 0.00604884    -0.000855316 0.0031689
1262000 0.000513748    0.00210405 0.000439186
1263000 -0.000670575    0.000723902 -0.00589162
1264000 0.000351739    2.51242e-06 0.00505841
1265000 0.00041818    0.000266921 0.00841942
1266000 0.00079366    0.00100666 0.00735848
1267000 0.000961073    -0.00112076 0.0150519
1268000 0.00125654    0.000411238 0.0361999
1269000 -0.00225451    0.000145726 -2.66276e-05
1270000 0.000829091    -0.000193023 0.0224328
1271000 0.0014934    -0.000123614 0.000891088
1272000 -0.00268506    -0.00116422 -0.00707666
1273000 -0.00332658    -0.000129399 0.00818048
1274000 -0.00237854    0.000162383 0.0181078
