# Radial distribution function (50 data points):
# "Pair separation distance" 1-1 1-2 1-3 1-4 1-5 2-2 2-3 2-4 2-5 3-3 3-4 3-5 4-4 4-5 5-5
0.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 
0.9 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 1.4777135734 0.0 
1.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 18.8764947791 0.0 
1.3 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0029652265 0.0 0.0 0.0 0.0 0.0 0.0 
1.5 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0022283063 0.0 0.0 0.0 0.0 0.0 0.0035440259 
1.7 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.0 0.3684851916 0.0 0.0 0.0 0.0 0.2001068107 4.2367441998 
1.9 0.0 16.7753477415 0.0 0.0 0.0 0.0 0.0 0.0 1.0658293338 0.0 0.0 0.011116864 0.0 0.5503179185 0.324886482 
2.1 0.0 0.0 0.0 0.0 0.0 0.0 0.0025434258 0.0 0.7459620042 0.2034740623 0.0182034449 0.1911361719 0.0036189751 0.8450306946 0.6649866815 
2.3 0.0 0.0 0.0 0.0 0.0044266774 0.0 0.252350121 0.0037942949 0.3775323409 0.6107297045 5.9089818992 1.0725206872 0.0 1.5758015929 1.1111324779 
2.5 0.0 0.0 0.0035900807 0.0 0.0267650154 4.8466089957 0.9908622836 0.0026765015 0.4180695412 0.1436032295 6.7447838906 2.6529483303 0.0153247007 2.0573410675 1.7904358638 
