0       0
0.04     0.00557    7.151295e-04
0.08    0.0065797    3.966491e-04
0.2     0.00803002   4.363557e-04
0.4     0.00935822   4.925668e-04
0.6     0.01037236   5.403055e-04
0.8     0.01114960   5.403055e-04
1.0     0.01205870  5.403055e-04
1.2     0.01261368  5.403055e-04
1.4     0.01325407  5.403055e-04  
1.6     0.01374987  5.403055e-04
1.8     0.01421270  5.403055e-04
2.0     0.01468190  5.403055e-04
