# 579 Particles
   Step          Time          v_magx         v_magy         v_magz       v_magnorm        v_tmag         v_emag         PotEng         TotEng    
      2600   0.26          -0.010513303    0.037858139   -0.0062078352   0.039778203    1062.2243      48.512047     -2126.6185     -2126.6185    
      2650   0.265         -0.010563269    0.038278149   -0.0068186279   0.040290111    1043.8129      48.408748     -2126.7218     -2126.7218    
      2700   0.27          -0.011136918    0.03880722    -0.0067924529   0.04094104     1024.1018      48.320866     -2126.8097     -2126.8097    
      2750   0.275         -0.010648575    0.039659618   -0.0070993233   0.041673467    1019.1708      48.223077     -2126.9075     -2126.9075    
      2800   0.28          -0.010886689    0.040251021   -0.0067848009   0.042245689    1010.4022      48.093903     -2127.0367     -2127.0367    
      2850   0.285         -0.01054877     0.042857676   -0.0061322765   0.044560765    988.25765      47.923048     -2127.2075     -2127.2075    
      2900   0.29          -0.0096299522   0.043551426   -0.0062407967   0.045037875    972.56397      47.818643     -2127.3119     -2127.3119    
      2950   0.295         -0.010038318    0.044769698   -0.0056840118   0.046232042    960.24636      47.690924     -2127.4396     -2127.4396    
      3000   0.3           -0.0096209599   0.045475053   -0.0044326577   0.046692523    959.32988      47.594559     -2127.536      -2127.536     
      3050   0.305         -0.0095997817   0.046465052   -0.0042502718   0.047636349    952.14901      47.452287     -2127.6783     -2127.6783    
      3100   0.31          -0.010080944    0.047314913   -0.0042725546   0.048565226    946.49807      47.328799     -2127.8018     -2127.8018    
      3150   0.315         -0.010514126    0.047842786   -0.0042190854   0.049165839    928.82252      47.185834     -2127.9447     -2127.9447    
      3200   0.32          -0.01087692     0.047799894   -0.0042576561   0.04920635     905.7356       47.046899     -2128.0837     -2128.0837    
      3250   0.325         -0.012319024    0.048190477   -0.0040514403   0.049904856    882.26161      46.880907     -2128.2497     -2128.2497    
      3300   0.33          -0.012569466    0.048267588   -0.0042396342   0.050057228    854.15243      46.748981     -2128.3816     -2128.3816    
      3350   0.335         -0.012059125    0.049029154   -0.0051702201   0.050754425    820.03377      46.591919     -2128.5386     -2128.5386    
      3400   0.34          -0.013276661    0.048463278   -0.0051513956   0.050512335    791.21136      46.460045     -2128.6705     -2128.6705    
      3450   0.345         -0.013423449    0.048536087   -0.0059968538   0.050713933    769.3605       46.324227     -2128.8063     -2128.8063    
      3500   0.35          -0.013914797    0.049171826   -0.0060795496   0.051463103    748.465        46.15595      -2128.9746     -2128.9746    
      3550   0.355         -0.013893339    0.049410072   -0.0055672051   0.051627259    732.40754      45.999736     -2129.1308     -2129.1308    
      3600   0.36          -0.013891495    0.048966884   -0.0054727308   0.051192579    716.62425      45.873983     -2129.2566     -2129.2566    
      3650   0.365         -0.01422783     0.049243358   -0.0054044232   0.051541704    701.56337      45.773992     -2129.3566     -2129.3566    
      3700   0.37          -0.014203159    0.050015837   -0.0052888902   0.052261707    683.28329      45.61774      -2129.5128     -2129.5128    
      3750   0.375         -0.014849404    0.050724629   -0.0049737643   0.053087014    668.15416      45.477944     -2129.6526     -2129.6526    
      3800   0.38          -0.014605338    0.05148981    -0.0045324439   0.053712749    660.99009      45.302215     -2129.8283     -2129.8283    
      3850   0.385         -0.015735467    0.052706212   -0.0043848387   0.055179493    656.25345      45.158193     -2129.9724     -2129.9724    
      3900   0.39          -0.016595717    0.05325915    -0.0033006572   0.055882459    646.13788      45.023488     -2130.1071     -2130.1071    
      3950   0.395         -0.016163178    0.05419218    -0.004179858    0.056705484    635.36058      44.867976     -2130.2626     -2130.2626    
      4000   0.4           -0.016190106    0.054255967   -0.0049229087   0.056833656    631.33801      44.741435     -2130.3891     -2130.3891    
      4050   0.405         -0.015364632    0.054676926   -0.0053730041   0.05704829     630.16404      44.610339     -2130.5202     -2130.5202    
      4100   0.41          -0.015314296    0.054853051   -0.0052241654   0.057189831    631.19194      44.467453     -2130.6631     -2130.6631    
      4150   0.415         -0.014560268    0.055971421   -0.005462225    0.058091629    636.6131       44.309731     -2130.8208     -2130.8208    
      4200   0.42          -0.014314141    0.056025604   -0.0040749388   0.057968682    636.97354      44.171734     -2130.9588     -2130.9588    
      4250   0.425         -0.014456551    0.056870661   -0.003611098    0.058790339    635.82381      44.037818     -2131.0927     -2131.0927    
      4300   0.43          -0.014313395    0.058244377   -0.0031591392   0.060060477    635.57087      43.864031     -2131.2665     -2131.2665    
      4350   0.435         -0.015783575    0.058928707   -0.0032462079   0.061092157    630.11456      43.710152     -2131.4204     -2131.4204    
      4400   0.44          -0.016034557    0.060187579   -0.0027915683   0.062349375    618.53606      43.514946     -2131.6156     -2131.6156    
      4450   0.445         -0.015755317    0.061272725   -0.0024117545   0.063311874    612.38766      43.358109     -2131.7725     -2131.7725    
      4500   0.45          -0.015563509    0.061725203   -0.0026161538   0.063710813    604.40419      43.248508     -2131.8821     -2131.8821    
