# 561 Particles

   Step          Time          v_magx         v_magy         v_magz       v_magnorm        v_tmag         v_emag         PotEng         TotEng    
      2600   0.26           0.0048798057   0.081784623   -0.022414662    0.084940886    860.21447      46.487111     -2075.4636     -2075.4636    
      2650   0.265          0.0048639466   0.082123307   -0.023009677    0.085424474    849.1732       46.366334     -2075.5844     -2075.5844    
      2700   0.27           0.0055748285   0.083870271   -0.023625566    0.087312476    859.53269      46.254421     -2075.6963     -2075.6963    
      2750   0.275          0.0049425667   0.084516116   -0.024238558    0.08806197     880.2233       46.109975     -2075.8407     -2075.8407    
      2800   0.28           0.005409807    0.08544614    -0.024656491    0.089096865    894.04085      45.980988     -2075.9697     -2075.9697    
      2850   0.285          0.0065088327   0.086057887   -0.024492769    0.089711875    894.87173      45.854307     -2076.0964     -2076.0964    
      2900   0.29           0.0067528417   0.086506419   -0.024431362    0.090143512    880.05625      45.666056     -2076.2846     -2076.2846    
      2950   0.295          0.0074295296   0.087121499   -0.024572108    0.090824788    861.70821      45.546824     -2076.4039     -2076.4039    
      3000   0.3            0.0075095728   0.088171962   -0.024796526    0.091899708    844.28243      45.392398     -2076.5583     -2076.5583    
      3050   0.305          0.0082152373   0.089239788   -0.026153191    0.093355339    833.76219      45.256246     -2076.6944     -2076.6944    
      3100   0.31           0.0079411862   0.089322067   -0.026624477    0.093543342    824.11465      45.16549      -2076.7852     -2076.7852    
      3150   0.315          0.0086235309   0.090592665   -0.026701277    0.09483857     811.29315      45.057712     -2076.893      -2076.893     
      3200   0.32           0.0095166406   0.092399937   -0.02812941     0.097054513    793.49708      44.896802     -2077.0539     -2077.0539    
      3250   0.325          0.010768825    0.093644047   -0.030075705    0.09894303     775.46203      44.706757     -2077.2439     -2077.2439    
      3300   0.33           0.010756773    0.09467049    -0.030004453    0.099892328    759.28515      44.577139     -2077.3735     -2077.3735    
      3350   0.335          0.010725169    0.096053293   -0.030295616    0.10128716     746.30971      44.416124     -2077.5346     -2077.5346    
      3400   0.34           0.010540166    0.097297333   -0.030310569    0.1024529      748.67896      44.269843     -2077.6808     -2077.6808    
      3450   0.345          0.010908664    0.096839135   -0.031694153    0.10247603     747.86511      44.112528     -2077.8382     -2077.8382    
      3500   0.35           0.011089908    0.097894546   -0.031256723    0.1033601      736.06405      43.952491     -2077.9982     -2077.9982    
      3550   0.355          0.012079693    0.099071886   -0.031485334    0.10465411     721.91996      43.796652     -2078.154      -2078.154     
      3600   0.36           0.011691461    0.099946345   -0.032875413    0.10586196     705.84077      43.628628     -2078.3221     -2078.3221    
      3650   0.365          0.01164791     0.10061956    -0.033173766    0.1065855      687.21858      43.465385     -2078.4853     -2078.4853    
      3700   0.37           0.012265687    0.10087427    -0.033031924    0.10685118     681.14422      43.266204     -2078.6845     -2078.6845    
      3750   0.375          0.012604076    0.10125741    -0.033568897    0.10741879     689.62236      43.105218     -2078.8455     -2078.8455    
      3800   0.38           0.011446326    0.10169085    -0.032922845    0.10749865     696.10499      42.930802     -2079.0199     -2079.0199    
      3850   0.385          0.011841665    0.10159883    -0.033100849    0.10750913     694.26971      42.765702     -2079.185      -2079.185     
      3900   0.39           0.011482328    0.10270186    -0.033869047    0.1087503      684.8165       42.60402      -2079.3467     -2079.3467    
      3950   0.395          0.010632499    0.10330728    -0.033770974    0.10920588     674.30881      42.463545     -2079.4871     -2079.4871    
      4000   0.4            0.010171155    0.10414688    -0.034019337    0.11003336     668.83335      42.32769      -2079.623      -2079.623     
      4050   0.405          0.0099258381   0.10408334    -0.03485547     0.11021238     671.67593      42.145337     -2079.8053     -2079.8053    
      4100   0.41           0.0093041402   0.10530373    -0.035184812    0.1114155      675.08977      42.000096     -2079.9506     -2079.9506    
      4150   0.415          0.0093144096   0.10679561    -0.035866842    0.11304199     659.71829      41.824897     -2080.1258     -2080.1258    
      4200   0.42           0.0095570023   0.10670479    -0.036384691    0.11314192     636.44407      41.650997     -2080.2997     -2080.2997    
      4250   0.425          0.009188474    0.10807508    -0.037221537    0.11467386     616.49486      41.477741     -2080.4729     -2080.4729    
      4300   0.43           0.0096958185   0.10945568    -0.036674804    0.11584298     603.31388      41.314524     -2080.6362     -2080.6362    
      4350   0.435          0.0095548991   0.11107133    -0.036602577    0.11733663     597.88361      41.127874     -2080.8228     -2080.8228    
      4400   0.44           0.010177793    0.11217685    -0.036923876    0.11853525     593.89508      40.96303      -2080.9877     -2080.9877    
      4450   0.445          0.010469278    0.11349965    -0.037055137    0.11985349     586.30699      40.809299     -2081.1414     -2081.1414    
      4500   0.45           0.01158267     0.11411065    -0.037505643    0.12067341     580.52057      40.629891     -2081.3208     -2081.3208    
      4550   0.455          0.010505596    0.11533564    -0.037778218    0.12181901     586.94356      40.495841     -2081.4548     -2081.4548    
      4600   0.46           0.0099905373   0.11582235    -0.037626308    0.12218988     595.41052      40.340951     -2081.6097     -2081.6097    
      4650   0.465          0.011083021    0.11673548    -0.036560947    0.12282796     594.23583      40.195355     -2081.7553     -2081.7553    
