# 559 Particles
      2300   0.23           0.002418043   -0.045174191    0.0080326559   0.045946469    899.64152      44.550395     -2018.7652     -2018.7652    
      2350   0.235          0.0037595321  -0.045459274    0.0075948209   0.046242415    893.24777      44.433646     -2018.882      -2018.882     
      2400   0.24           0.003972511   -0.046141318    0.0082505917   0.047041198    885.61122      44.302332     -2019.0133     -2019.0133    
      2450   0.245          0.0040039679  -0.046291472    0.0091084768   0.047348669    868.07072      44.197451     -2019.1181     -2019.1181    
      2500   0.25           0.0045293414  -0.046642912    0.0097614762   0.047868179    852.57737      44.102259     -2019.2133     -2019.2133    
      2550   0.255          0.0051030263  -0.047687166    0.010201498    0.04903241     835.23131      43.975494     -2019.3401     -2019.3401    
      2600   0.26           0.0060747421  -0.047921242    0.011224308    0.049591663    813.41301      43.864776     -2019.4508     -2019.4508    
      2650   0.265          0.0082947236  -0.048591438    0.011615502    0.05064435     786.33056      43.720034     -2019.5956     -2019.5956    
      2700   0.27           0.0080785118  -0.049500023    0.01162415     0.051484323    772.57633      43.621979     -2019.6936     -2019.6936    
      2750   0.275          0.0074496149  -0.049516086    0.011670454    0.051415358    775.72508      43.50253      -2019.8131     -2019.8131    
      2800   0.28           0.0073370872  -0.050333297    0.012192026    0.052306015    789.25648      43.38405      -2019.9315     -2019.9315    
      2850   0.285          0.0071986441  -0.050630446    0.011752703    0.052472741    795.89742      43.253376     -2020.0622     -2020.0622    
      2900   0.29           0.0060512239  -0.051259357    0.011912345    0.052972096    789.9861       43.109959     -2020.2056     -2020.2056    
      2950   0.295          0.00650955    -0.051597359    0.010800842    0.053116098    787.07716      42.982879     -2020.3327     -2020.3327    
      3000   0.3            0.0075728066  -0.052394703    0.011887414    0.054257376    785.10655      42.824848     -2020.4908     -2020.4908    
      3050   0.305          0.0071719286  -0.053077609    0.012742024    0.055054775    772.83401      42.688393     -2020.6272     -2020.6272    
      3100   0.31           0.0070409761  -0.05286595     0.012615201    0.054804446    744.49166      42.552518     -2020.7631     -2020.7631    
      3150   0.315          0.0060400438  -0.05353938     0.01308457     0.055445047    714.95835      42.424191     -2020.8914     -2020.8914    
      3200   0.32           0.0057489636  -0.054090194    0.01339124     0.05601897     685.42926      42.231359     -2021.0842     -2021.0842    
      3250   0.325          0.0047942868  -0.054457988    0.013735972    0.056367851    671.28428      42.056276     -2021.2593     -2021.2593    
      3300   0.33           0.0046695119  -0.054932677    0.013489364    0.056757081    672.35747      41.941023     -2021.3746     -2021.3746    
      3350   0.335          0.0042858448  -0.055532199    0.013000368    0.057194433    669.41248      41.806315     -2021.5093     -2021.5093    
      3400   0.34           0.0046289653  -0.055764285    0.011971924    0.057222459    665.42277      41.699168     -2021.6164     -2021.6164    
      3450   0.345          0.0047537684  -0.056682813    0.011748173    0.058082348    656.69837      41.579395     -2021.7362     -2021.7362    
      3500   0.35           0.0047355571  -0.057372477    0.010808528    0.058573466    652.12972      41.441123     -2021.8745     -2021.8745    
      3550   0.355          0.005127858   -0.05744346     0.010810389    0.05867632     659.46763      41.297688     -2022.0179     -2022.0179    
      3600   0.36           0.0058152176  -0.057057972    0.011289008    0.058454004    659.93948      41.179859     -2022.1357     -2022.1357    
      3650   0.365          0.0056534293  -0.056861426    0.01132692     0.058253602    652.22282      41.053113     -2022.2625     -2022.2625    
